                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2746,                 1.8438,                 1.5185,                0.44997,                0.22123,                0.22915,                0.10831,                 2.2372,                 3.5066,                 2.4016,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.3009,                  1.663,                 1.5312,                0.47434,                0.39716,                0.36261,                0.15452,                 2.1082,                 3.4431,                 2.4782,             0.00046514,             0.00046514,             0.00046514
                      3,                 1.3099,                 1.6517,                 1.5364,                0.49707,                0.41957,                0.39477,                0.17549,                 2.0108,                  2.543,                 2.1961,             0.00068432,             0.00068432,             0.00068432
                      4,                 1.2707,                 1.5773,                 1.5012,                0.61448,                0.51297,                0.50294,                 0.2293,                 1.9858,                 1.9505,                 2.2151,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.2154,                 1.4882,                 1.4707,                0.73543,                0.47482,                 0.5512,                0.26427,                 1.8591,                  1.775,                 2.0779,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.1699,                 1.3945,                 1.4372,                 0.6515,                0.47435,                 0.5289,                0.23631,                 1.9571,                 1.7043,                 2.1421,             0.00065745,             0.00065745,             0.00065745
                      7,                  1.163,                 1.3127,                 1.4047,                0.75307,                 0.5227,                0.59959,                0.30901,                 1.7597,                 1.4719,                 1.9323,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.1281,                 1.2555,                 1.4016,                0.66796,                0.60078,                0.60758,                0.30259,                 1.7807,                 1.4076,                 1.9494,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.1122,                 1.1968,                 1.3751,                0.79459,                0.60427,                0.65064,                0.32701,                 1.7485,                 1.3377,                 1.9167,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.0927,                 1.1483,                 1.3697,                0.76796,                0.61462,                0.66893,                0.33867,                 1.6855,                 1.1917,                 1.8485,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.0484,                 1.1046,                 1.3418,                0.77328,                 0.6057,                0.66908,                0.35923,                 1.6722,                 1.1889,                 1.8331,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.0583,                 1.0627,                 1.3433,                0.83295,                0.62029,                0.69827,                0.35532,                 1.7559,                 1.1676,                 1.9311,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.0345,                 1.0294,                 1.3166,                0.80454,                 0.6307,                0.70258,                 0.3795,                 1.6115,                 1.1199,                 1.8062,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.0214,                 0.9974,                 1.3061,                0.80164,                0.68105,                0.72109,                0.36926,                 1.7209,                 1.0633,                 1.8281,             0.00054435,             0.00054435,             0.00054435
                     15,                0.98391,                0.94767,                 1.2824,                0.82811,                0.64463,                0.71613,                0.39609,                 1.5563,                 1.0232,                 1.7349,             0.00053022,             0.00053022,             0.00053022
                     16,                0.98416,                0.92074,                 1.2853,                0.81323,                0.64281,                0.72001,                0.36329,                 1.6492,                 1.0447,                 1.8058,             0.00051608,             0.00051608,             0.00051608
                     17,                0.96374,                0.90476,                 1.2741,                0.80646,                0.65562,                0.72599,                0.40566,                 1.5228,                 1.0043,                 1.7119,             0.00050194,             0.00050194,             0.00050194
                     18,                0.95326,                0.89244,                 1.2538,                0.86437,                0.66892,                0.74545,                0.41052,                 1.5152,                0.95835,                 1.7026,              0.0004878,              0.0004878,              0.0004878
                     19,                0.94306,                0.86158,                 1.2574,                0.87925,                0.66646,                0.75016,                0.42761,                 1.4493,                0.93055,                 1.6338,             0.00047367,             0.00047367,             0.00047367
                     20,                0.91938,                0.82187,                 1.2356,                0.86368,                0.67725,                0.74625,                0.40934,                 1.5513,                0.95171,                 1.7691,             0.00045953,             0.00045953,             0.00045953
                     21,                0.90871,                0.82327,                 1.2349,                0.84775,                0.67387,                0.76233,                0.46269,                 1.3213,                0.85914,                 1.5562,             0.00044539,             0.00044539,             0.00044539
                     22,                0.89713,                0.81015,                 1.2276,                0.84123,                0.69889,                0.77146,                0.46734,                 1.3667,                0.85219,                 1.5862,             0.00043126,             0.00043126,             0.00043126
                     23,                0.87978,                0.78057,                 1.2187,                0.87564,                0.69744,                0.77524,                0.45734,                 1.4497,                0.83142,                 1.6437,             0.00041712,             0.00041712,             0.00041712
                     24,                0.85936,                0.74585,                 1.2031,                0.83937,                 0.7034,                0.77001,                0.44617,                 1.4906,                 0.8346,                 1.6902,             0.00040298,             0.00040298,             0.00040298
                     25,                0.86428,                0.74433,                 1.1936,                0.86885,                0.70635,                0.79346,                0.49043,                 1.3453,                0.76164,                 1.5639,             0.00038884,             0.00038884,             0.00038884
                     26,                0.85285,                0.72046,                 1.1845,                0.89381,                0.70054,                0.79283,                0.48662,                 1.3325,                0.77919,                 1.5348,             0.00037471,             0.00037471,             0.00037471
                     27,                0.84123,                 0.7165,                 1.1784,                0.91593,                0.71112,                0.79705,                0.49505,                 1.3015,                0.78835,                 1.5341,             0.00036057,             0.00036057,             0.00036057
                     28,                0.83125,                0.69135,                 1.1721,                0.90297,                 0.7201,                0.79552,                0.51355,                 1.2207,                0.73292,                 1.4603,             0.00034643,             0.00034643,             0.00034643
                     29,                0.81837,                0.66715,                 1.1629,                0.91028,                0.72499,                0.80401,                0.51232,                 1.2833,                0.72216,                 1.5041,              0.0003323,              0.0003323,              0.0003323
                     30,                0.80677,                0.65273,                 1.1475,                0.91086,                 0.7306,                0.81633,                0.53712,                 1.1345,                0.68696,                 1.3941,             0.00031816,             0.00031816,             0.00031816
                     31,                0.79901,                0.64962,                 1.1422,                0.86793,                0.75227,                0.81314,                 0.5267,                 1.2193,                0.68648,                 1.4342,             0.00030402,             0.00030402,             0.00030402
                     32,                0.79185,                0.65234,                 1.1538,                0.86113,                0.75459,                0.81099,                0.51553,                 1.2494,                0.68477,                 1.5166,             0.00028988,             0.00028988,             0.00028988
                     33,                 0.7627,                0.61683,                 1.1343,                0.92634,                0.75818,                0.83444,                0.55762,                 1.1249,                0.62246,                 1.3676,             0.00027575,             0.00027575,             0.00027575
                     34,                0.75556,                0.60342,                 1.1135,                 0.9271,                0.75557,                  0.835,                0.53652,                 1.2332,                0.64616,                 1.4579,             0.00026161,             0.00026161,             0.00026161
                     35,                0.74728,                  0.583,                 1.1158,                0.89698,                0.76478,                0.83641,                0.53875,                 1.1901,                0.65682,                 1.4339,             0.00024747,             0.00024747,             0.00024747
